pmid,title,journal,year,compound,endpoint,activity,evidence
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) ,Journal of xenobiotics,2024,PFOS,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
39732059,Association between exposure to perfluoroalkyl and polyfluoroalkyl substances wi,Ecotoxicology and environmental safety,2025,PFOA,NR-AR,1.0,"positive_kw=4, negative_kw=1"
39732059,Association between exposure to perfluoroalkyl and polyfluoroalkyl substances wi,Ecotoxicology and environmental safety,2025,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=1"
39732059,Association between exposure to perfluoroalkyl and polyfluoroalkyl substances wi,Ecotoxicology and environmental safety,2025,PFNA,NR-AR,1.0,"positive_kw=4, negative_kw=1"
39732059,Association between exposure to perfluoroalkyl and polyfluoroalkyl substances wi,Ecotoxicology and environmental safety,2025,PFHxS,NR-AR,1.0,"positive_kw=4, negative_kw=1"
40503787,Mechanistic insights into PFOS-induced inflammatory bowel disease: a network tox,"International journal of surgery (London, England)",2025,PFOS,NR-AR,1.0,"positive_kw=3, negative_kw=0"
40503787,Mechanistic insights into PFOS-induced inflammatory bowel disease: a network tox,"International journal of surgery (London, England)",2025,PFOS,hepatotoxicity,1.0,"positive_kw=3, negative_kw=0"
40503787,Mechanistic insights into PFOS-induced inflammatory bowel disease: a network tox,"International journal of surgery (London, England)",2025,PFOS,immunotoxicity,1.0,"positive_kw=3, negative_kw=0"
40845637,Elucidating the associations and molecular mechanisms of perfluoroalkyl substanc,Ecotoxicology and environmental safety,2025,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
41265816,Per- and polyfluoroalkyl substances trigger autoimmune diseases through inflamma,Chemico-biological interactions,2026,PFOS,NR-AR,1.0,"positive_kw=1, negative_kw=0"
41265816,Per- and polyfluoroalkyl substances trigger autoimmune diseases through inflamma,Chemico-biological interactions,2026,PFOS,hepatotoxicity,1.0,"positive_kw=1, negative_kw=0"
41265816,Per- and polyfluoroalkyl substances trigger autoimmune diseases through inflamma,Chemico-biological interactions,2026,PFOS,immunotoxicity,1.0,"positive_kw=1, negative_kw=0"
40915206,Network toxicology and molecular docking to investigate the association of perfl,Ecotoxicology and environmental safety,2025,PFOS,NR-AR,1.0,"positive_kw=4, negative_kw=0"
