pmid,title,journal,year,compound,endpoint,activity
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,GenX,hepatotoxicity,1.0
37239886,Perfluoroalkyl Substances (PFAS) Affect Inflammation in Lung Cells and Tissues.,International journal of molecular sciences,2023,GenX,immunotoxicity,1.0
38641293,Chloroperfluoropolyether carboxylate compounds: A review.,Chemosphere,2024,PFNA,hepatotoxicity,1.0
36111068,Exposure to perfluoroalkyl substances and risk of hepatocellular carcinoma in a multiethnic cohort.,JHEP reports : innovation in hepatology,2022,PFOS,hepatotoxicity,1.0
39667063,Associations of PFAS concentrations during pregnancy and midlife with bone health in midlife: Cross-,Environment international,2024,PFOA,hepatotoxicity,1.0
39667063,Associations of PFAS concentrations during pregnancy and midlife with bone health in midlife: Cross-,Environment international,2024,PFOS,hepatotoxicity,1.0
39667063,Associations of PFAS concentrations during pregnancy and midlife with bone health in midlife: Cross-,Environment international,2024,PFNA,hepatotoxicity,1.0
40652593,PFAS in first-time mothers from Sweden: temporal trends and the impact from fish/seafood consumption,Environment international,2025,PFOA,hepatotoxicity,1.0
40652593,PFAS in first-time mothers from Sweden: temporal trends and the impact from fish/seafood consumption,Environment international,2025,PFOS,hepatotoxicity,1.0
40652593,PFAS in first-time mothers from Sweden: temporal trends and the impact from fish/seafood consumption,Environment international,2025,PFNA,hepatotoxicity,1.0
40652593,PFAS in first-time mothers from Sweden: temporal trends and the impact from fish/seafood consumption,Environment international,2025,PFDA,hepatotoxicity,1.0
40652593,PFAS in first-time mothers from Sweden: temporal trends and the impact from fish/seafood consumption,Environment international,2025,PFHxS,hepatotoxicity,1.0
41252938,Global ecological and health risks of PFAS in surface soil.,Environment international,2025,PFOS,hepatotoxicity,1.0
40658020,"PFAS in animal by-products in Lanzhou, China, and health risk assessment.","Food additives & contaminants. Part B, Surveillance",2025,PFOS,hepatotoxicity,1.0
40658020,"PFAS in animal by-products in Lanzhou, China, and health risk assessment.","Food additives & contaminants. Part B, Surveillance",2025,PFBA,hepatotoxicity,1.0
40796466,Assessment of per- and polyfluoroalkyl substances in Sydney drinking water.,Chemosphere,2025,PFOS,hepatotoxicity,
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma: a multi-omics and c,Journal of translational medicine,2025,PFOA,hepatotoxicity,1.0
40317014,Decoding per- and polyfluoroalkyl substances (PFAS) in hepatocellular carcinoma: a multi-omics and c,Journal of translational medicine,2025,PFOS,hepatotoxicity,1.0
39278030,Legacy and alternative per- and polyfluoroalkyl substances spatiotemporal distribution in China: Hum,Journal of hazardous materials,2024,PFOA,hepatotoxicity,1.0
39278030,Legacy and alternative per- and polyfluoroalkyl substances spatiotemporal distribution in China: Hum,Journal of hazardous materials,2024,PFOA,BCF,1.0
39278030,Legacy and alternative per- and polyfluoroalkyl substances spatiotemporal distribution in China: Hum,Journal of hazardous materials,2024,PFOS,hepatotoxicity,1.0
39278030,Legacy and alternative per- and polyfluoroalkyl substances spatiotemporal distribution in China: Hum,Journal of hazardous materials,2024,PFOS,BCF,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOA,hepatotoxicity,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOA,endocrine,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOA,developmental,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOS,hepatotoxicity,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOS,endocrine,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFOS,developmental,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFNA,hepatotoxicity,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFNA,endocrine,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFNA,developmental,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFHxS,hepatotoxicity,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFHxS,endocrine,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,PFHxS,developmental,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,GenX,hepatotoxicity,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,GenX,endocrine,1.0
38521043,Mixtures of per- and polyfluoroalkyl substances (PFAS) alter sperm methylation and long-term reprogr,Environment international,2024,GenX,developmental,1.0
39088169,PFOA-contaminated soil remediation: a comprehensive review.,Environmental science and pollution research international,2024,PFOA,hepatotoxicity,1.0
41109194,Per- and polyfluoroalkyl substances (PFAS) in the United States: Current knowledge and regulatory co,The Science of the total environment,2025,PFOA,hepatotoxicity,1.0
41109194,Per- and polyfluoroalkyl substances (PFAS) in the United States: Current knowledge and regulatory co,The Science of the total environment,2025,PFOA,BCF,1.0
41109194,Per- and polyfluoroalkyl substances (PFAS) in the United States: Current knowledge and regulatory co,The Science of the total environment,2025,PFOS,hepatotoxicity,1.0
41109194,Per- and polyfluoroalkyl substances (PFAS) in the United States: Current knowledge and regulatory co,The Science of the total environment,2025,PFOS,BCF,1.0
30290996,Perfluoroalkyl substances and metabolic syndrome.,International journal of hygiene and environmental health,2019,PFOA,hepatotoxicity,1.0
30290996,Perfluoroalkyl substances and metabolic syndrome.,International journal of hygiene and environmental health,2019,PFOS,hepatotoxicity,1.0
30290996,Perfluoroalkyl substances and metabolic syndrome.,International journal of hygiene and environmental health,2019,PFNA,hepatotoxicity,1.0
30290996,Perfluoroalkyl substances and metabolic syndrome.,International journal of hygiene and environmental health,2019,PFDA,hepatotoxicity,1.0
30290996,Perfluoroalkyl substances and metabolic syndrome.,International journal of hygiene and environmental health,2019,PFHxS,hepatotoxicity,1.0
40408073,"Integration of Animal, Population, and Toxicogenomic Evidence on the Hematotoxic and Immunosuppressi",Environmental science & technology,2025,PFOA,SR-MMP,1.0
40408073,"Integration of Animal, Population, and Toxicogenomic Evidence on the Hematotoxic and Immunosuppressi",Environmental science & technology,2025,PFOA,hepatotoxicity,1.0
40408073,"Integration of Animal, Population, and Toxicogenomic Evidence on the Hematotoxic and Immunosuppressi",Environmental science & technology,2025,PFOA,immunotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFOA,hepatotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFOA,immunotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFOS,hepatotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFOS,immunotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFNA,hepatotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFNA,immunotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFDA,hepatotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFDA,immunotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFHxS,hepatotoxicity,1.0
38112183,Altered Transcriptome Response in PBMCs of Czech Adults Linked to Multiple PFAS Exposure: B Cell Dev,Environmental science & technology,2024,PFHxS,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFOA,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFOA,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFOS,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFOS,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFNA,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFNA,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFDA,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFDA,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFHxA,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFHxA,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFBS,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFBS,immunotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFHxS,hepatotoxicity,1.0
36628859,Internal relative potency factors based on immunotoxicity for the risk assessment of mixtures of per,Environment international,2023,PFHxS,immunotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFOA,hepatotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFOA,endocrine,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFOS,hepatotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFOS,endocrine,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFNA,hepatotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFNA,endocrine,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFDA,hepatotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFDA,endocrine,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFHxS,hepatotoxicity,1.0
35074350,Serum levels of perfluoroalkyl substances (PFAS) and body composition - A cross-sectional study in a,Environmental research,2022,PFHxS,endocrine,1.0
33498193,"Legacy and Emerging Per- and Polyfluoroalkyl Substances: Analytical Techniques, Environmental Fate, ",International journal of molecular sciences,2021,PFNA,hepatotoxicity,1.0
33498193,"Legacy and Emerging Per- and Polyfluoroalkyl Substances: Analytical Techniques, Environmental Fate, ",International journal of molecular sciences,2021,GenX,hepatotoxicity,1.0
38457972,"Prenatal PFAS exposure, gut microbiota dysbiosis, and neurobehavioral development in childhood.",Journal of hazardous materials,2024,PFHxS,hepatotoxicity,1.0
40397817,Circulating per- and polyfluoroalkyl substances and liver cancer risk: a nested case-control analysi,Environmental health perspectives,2025,PFOA,hepatotoxicity,1.0
40397817,Circulating per- and polyfluoroalkyl substances and liver cancer risk: a nested case-control analysi,Environmental health perspectives,2025,PFOS,hepatotoxicity,1.0
40397817,Circulating per- and polyfluoroalkyl substances and liver cancer risk: a nested case-control analysi,Environmental health perspectives,2025,PFHxS,hepatotoxicity,1.0
39848516,Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999-March 2020.,Environmental research,2025,PFOA,hepatotoxicity,
39848516,Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999-March 2020.,Environmental research,2025,PFOS,hepatotoxicity,
