pmid,title,journal,year,compounds,endpoints,values,source
37069739,"US and international per- and polyfluoroalkyl substances surface water quality criteria: A review of the status, challenges, and implications for use in chemical management and risk assessment.",Integrated environmental assessment and management,2024,PFOA; PFOS,BCF; toxicity,,PMID:37069739
39251122,Toxicity prediction and risk assessment of per- and polyfluoroalkyl substances for threatened and endangered fishes.,"Environmental pollution (Barking, Essex : 1987)",2024,,toxicity,,PMID:39251122
39073492,Elucidating the degradation mechanisms of perfluorooctanoic acid and perfluorooctane sulfonate in various environmental matrices: a review of green degradation pathways.,Environmental geochemistry and health,2024,PFOA; PFOS,BCF; toxicity,,PMID:39073492
34798108,Elucidating the molecular mechanisms of perfluorooctanoic acid-serum protein interactions by structural mass spectrometry.,Chemosphere,2022,PFOA,toxicity,,PMID:34798108
34762945,Global occurrence and probabilistic environmental health hazard assessment of per- and polyfluoroalkyl substances (PFASs) in groundwater and surface waters.,The Science of the total environment,2022,PFOA; PFOS,BCF; toxicity,,PMID:34762945
34296455,Argumentation Analysis of Risk Assessments: The Case of Perfluorooctanoic Acid.,Risk analysis : an official publication of the Society for Risk Analysis,2022,PFOA,toxicity,,PMID:34296455
34400261,The Dilemma of perfluorooctanoate (PFOA) human half-life.,Regulatory toxicology and pharmacology : RTP,2021,PFOA,toxicity,,PMID:34400261
39584959,Impact of Legacy Perfluorooctane Sulfonate (PFOS) and Perfluorooctanoate (PFOA) on GABA Receptor-Mediated Currents in Neuron-Like Neuroblastoma Cells: Insights into Neurotoxic Mechanisms and Health Implications.,Journal of xenobiotics,2024,PFOA; PFOS,toxicity,,PMID:39584959
39732059,Association between exposure to perfluoroalkyl and polyfluoroalkyl substances with estimated glomerular filtration rate: Mediating role of serum albumin.,Ecotoxicology and environmental safety,2025,PFOA; PFOS; PFNA; PFHXS,toxicity,,PMID:39732059
40503787,Mechanistic insights into PFOS-induced inflammatory bowel disease: a network toxicology and molecular docking study.,"International journal of surgery (London, England)",2025,PFOS,toxicity,,PMID:40503787
40845637,Elucidating the associations and molecular mechanisms of perfluoroalkyl substances exposure with type 2 diabetes and its complications: A multifaceted approach.,Ecotoxicology and environmental safety,2025,PFOS,toxicity,,PMID:40845637
41265816,Per- and polyfluoroalkyl substances trigger autoimmune diseases through inflammatory cytokines-IL-17/Th17 signaling axis.,Chemico-biological interactions,2026,PFOS,toxicity,,PMID:41265816
40915206,Network toxicology and molecular docking to investigate the association of perfluorooctane sulfonate and pulmonary arterial hypertension via adverse outcome pathways.,Ecotoxicology and environmental safety,2025,PFOS,BCF; toxicity,,PMID:40915206
40995116,Analysis of the effects of perfluorooctane sulfonate on COPD using network toxicology and molecular docking.,iScience,2025,PFOS,toxicity,,PMID:40995116
40705188,Integrated network toxicology and bioinformatics reveal PFAS-driven prognostic biomarkers and molecular mechanisms in breast cancer: insights from transcriptome analysis and molecular docking.,Discover oncology,2025,PFOS,toxicity,,PMID:40705188
40050647,Integrated computational analysis of molecular mechanisms underlying perfluorooctane sulfonic acid induced thyroid toxicity.,Scientific reports,2025,PFOS,SR-p53; toxicity,,PMID:40050647
